SRC500_v1.1 字词库（进阶级）
基于《西游记•趣味中文文本库》前20集
生成时间：2026-07-30
共348道题
不重复单字总数：501个
文本覆盖率：91.09%

格式：序号 | 单字 | 词组 | 字频
101 | 事 | 事情 | 61
102 | 很 | 很快 | 70
103 | 慢 | 慢慢 | 76
104 | 然 | 忽然 | 62
105 | 又 | 又大 | 64
106 | 眼 | 眼睛 | 46
107 | 自 | 自己 | 43
108 | 得 | 觉得 | 68
109 | 越 | 越变 | 58
110 | 啊 | 香啊 | 66
111 | 呢 | 么呢 | 43
112 | 学 | 学子 | 2
113 | 真 | 真正 | 44
114 | 器 | 兵器 | 50
115 | 去 | 过去 | 89
116 | 同 | 不同 | 8
117 | 回 | 回来 | 41
118 | 轻 | 轻轻 | 76
119 | 太 | 太白 | 39
120 | 把 | 把那 | 58
121 | 影 | 影子 | 10
122 | 妖 | 妖怪 | 9
123 | 宫 | 宫殿 | 41
124 | 弟 | 弟子 | 1
125 | 位 | 七位 | 42
126 | 哥 | 哥子 | 3
127 | 音 | 声音 | 10
128 | 朋 | 朋友 | 3
129 | 鬼 | 鬼子 | 4
130 | 皇 | 玉皇 | 38
131 | 英 | 英子 | 1
132 | 语 | 语子 | 1
133 | 机 | 机子 | 3
134 | 体 | 身体 | 5
135 | 育 | 育子 | 1
136 | 脑 | 脑子 | 2
137 | 乐 | 乐子 | 2
138 | 本 | 本领 | 30
139 | 叫 | 叫做 | 28
140 | 现 | 发现 | 32
141 | 安 | 安静 | 31
142 | 给 | 给他 | 21
143 | 久 | 多久 | 21
144 | 吗 | 了吗 | 26
145 | 吧 | 吧孙 | 20
146 | 两 | 两个 | 19
147 | 三 | 三千 | 30
148 | 四 | 四周 | 22
149 | 些 | 这些 | 25
150 | 刻 | 立刻 | 22
151 | 边 | 旁边 | 35
152 | 而 | 而且 | 24
153 | 别 | 特别 | 28
154 | 最 | 最后 | 36
155 | 当 | 当当 | 19
156 | 于 | 终于 | 25
157 | 成 | 成熟 | 33
158 | 名 | 名字 | 24
159 | 哪 | 哪吒 | 35
160 | 如 | 如意 | 25
161 | 生 | 生命 | 25
162 | 件 | 件刚 | 32
163 | 武 | 武士 | 29
164 | 悄 | 悄悄 | 22
165 | 远 | 远处 | 31
166 | 底 | 到底 | 26
167 | 找 | 寻找 | 27
168 | 直 | 直接 | 28
169 | 云 | 云层 | 21
170 | 和 | 和天 | 26
171 | 呼 | 呼啦 | 21
172 | 往 | 续往 | 20
173 | 打 | 被打 | 25
174 | 门 | 专门 | 29
175 | 马 | 弼马 | 25
176 | 已 | 已经 | 33
177 | 从 | 从今 | 28
178 | 几 | 几个 | 27
179 | 连 | 连忙 | 19
180 | 转 | 一转 | 19
181 | 带 | 带着 | 32
182 | 完 | 说完 | 23
183 | 谁 | 是谁 | 21
184 | 抬 | 抬头 | 20
185 | 哈 | 哈哈 | 34
186 | 再 | 后再 | 29
187 | 铁 | 铁棒 | 23
188 | 宝 | 宝贝 | 27
189 | 色 | 脸色 | 33
190 | 呃 | 呃子 | 23
191 | 请 | 邀请 | 22
192 | 话 | 句话 | 25
193 | 年 | 年才 | 30
194 | 箍 | 金箍 | 26
195 | 等 | 等他 | 19
196 | 脚 | 赤脚 | 20
197 | 庭 | 天庭 | 31
198 | 帝 | 大帝 | 37
199 | 官 | 做官 | 22
200 | 齐 | 齐天 | 23
201 | 圣 | 大圣 | 27
202 | 园 | 桃园 | 22
203 | 库 | 器库 | 12
204 | 管 | 管理 | 18
205 | 准 | 准备 | 16
206 | 欢 | 喜欢 | 10
207 | 故 | 故事 | 16
208 | 片 | 一片 | 12
209 | 九 | 九股 | 10
210 | 十 | 十子 | 12
211 | 吹 | 一吹 | 10
212 | 落 | 落地 | 11
213 | 座 | 一座 | 15
214 | 界 | 冥界 | 17
215 | 厉 | 厉害 | 13
216 | 敢 | 敢欺 | 13
217 | 美 | 美猴 | 14
218 | 整 | 整整 | 17
219 | 呀 | 呀子 | 16
220 | 更 | 更子 | 11
221 | 怎 | 怎么 | 17
222 | 定 | 决定 | 16
223 | 诶 | 诶子 | 14
224 | 知 | 知道 | 15
225 | 停 | 停下 | 14
226 | 半 | 半空 | 11
227 | 跟 | 跟着 | 14
228 | 圈 | 坤圈 | 14
229 | 将 | 天将 | 15
230 | 告 | 告诉 | 13
231 | 城 | 京城 | 14
232 | 亮 | 漂亮 | 18
233 | 讲 | 们讲 | 17
234 | 让 | 让我 | 18
235 | 摇 | 摇子 | 11
236 | 传 | 传说 | 11
237 | 用 | 用力 | 15
238 | 热 | 热闹 | 12
239 | 赶 | 赶紧 | 11
240 | 顺 | 顺利 | 10
241 | 排 | 安排 | 10
242 | 每 | 每天 | 12
243 | 步 | 一步 | 15
244 | 退 | 后退 | 12
245 | 忍 | 忍不 | 12
246 | 刀 | 大刀 | 15
247 | 孩 | 孩儿 | 10
248 | 愣 | 愣住 | 18
249 | 原 | 原来 | 18
250 | 之 | 之后 | 16
251 | 加 | 参加 | 10
252 | 毛 | 毫毛 | 13
253 | 所 | 所有 | 16
254 | 百 | 六百 | 13
255 | 挥 | 一挥 | 14
256 | 冲 | 冲出 | 16
257 | 抓 | 去抓 | 15
258 | 行 | 行礼 | 14
259 | 通 | 普通 | 14
260 | 飘 | 飘子 | 12
261 | 急 | 着急 | 10
262 | 您 | 王您 | 15
263 | 却 | 却子 | 11
264 | 非 | 非常 | 13
265 | 路 | 一路 | 10
266 | 混 | 混世 | 13
267 | 举 | 举起 | 11
268 | 闪 | 闪闪 | 17
269 | 围 | 围了 | 14
270 | 皱 | 皱起 | 11
271 | 眉 | 眉头 | 10
272 | 派 | 派兵 | 10
273 | 红 | 红色 | 12
274 | 叉 | 钢叉 | 15
275 | 摆 | 摆手 | 12
276 | 古 | 古代 | 10
277 | 先 | 们先 | 11
278 | 它 | 它子 | 11
279 | 算 | 算了 | 10
280 | 服 | 衣服 | 12
281 | 甲 | 盔甲 | 10
282 | 物 | 宝物 | 11
283 | 桌 | 桌子 | 11
284 | 棵 | 棵桃 | 10
285 | 女 | 仙女 | 14
286 | 颗 | 一颗 | 10
287 | 丹 | 仙丹 | 11
288 | 记 | 记录 | 8
289 | 趣 | 趣子 | 2
290 | 味 | 香味 | 5
291 | 文 | 文子 | 2
292 | 车 | 车子 | 2
293 | 睡 | 睡着 | 8
294 | 或 | 或者 | 4
295 | 休 | 休子 | 2
296 | 息 | 息子 | 4
297 | 段 | 段子 | 3
298 | 迎 | 欢迎 | 6
299 | 陆 | 陆子 | 1
300 | 陪 | 陪子 | 3
301 | 冬 | 冬子 | 2
302 | 分 | 分子 | 7
303 | 享 | 享子 | 2
304 | 五 | 五子 | 8
305 | 八 | 八子 | 6
306 | 无 | 无子 | 2
307 | 数 | 数子 | 5
308 | 入 | 入子 | 4
309 | 画 | 画子 | 3
310 | 冷 | 冷子 | 5
311 | 咔 | 咔子 | 2
312 | 嚓 | 嚓子 | 2
313 | 块 | 一块 | 6
314 | 圆 | 圆的 | 7
315 | 裂 | 裂子 | 2
316 | 怕 | 恐怕 | 6
317 | 反 | 反而 | 4
318 | 睁 | 睁大 | 8
319 | 其 | 其中 | 8
320 | 哇 | 哇子 | 3
321 | 勇 | 勇子 | 2
322 | 聪 | 聪子 | 1
323 | 明 | 明天 | 8
324 | 送 | 送子 | 4
325 | 玩 | 玩子 | 4
326 | 够 | 够子 | 3
327 | 遇 | 遇到 | 5
328 | 拜 | 拜子 | 4
329 | 秒 | 一秒 | 5
330 | 筋 | 筋斗 | 6
331 | 万 | 一万 | 9
332 | 绕 | 绕子 | 3
333 | 球 | 球子 | 3
334 | 死 | 死子 | 4
335 | 二 | 二子 | 4
336 | 合 | 合适 | 8
337 | 猜 | 你猜 | 6
338 | 趟 | 趟子 | 1
339 | 鹏 | 鹏子 | 2
340 | 扶 | 扶子 | 1
341 | 鸟 | 鸟子 | 1
342 | 翅 | 翅子 | 2
343 | 膀 | 膀子 | 2
344 | 乘 | 乘子 | 1
345 | 酷 | 酷子 | 1
346 | 比 | 比子 | 6
347 | 箭 | 箭子 | 1
348 | 托 | 托塔 | 4
